SITE,MONTH,DAY,YEAR,T_HI,T_LO,T_AVG,RH,WIND,MAX1_MIN,SOIL_F,SOLAR_LANG,PRECIP,ETPOT,GDD_40,GDD_50
1,4,27,1989,57,35,46,77.1,14.8,26.4,58.7,227,0.01,0.15,9,4
1,4,28,1989,56,25,41,59.8,15.0,26.3,55.0,626,0.00,0.28,8,3
1,4,29,1989,53,21,39,51.3,10.2,21.1,54.2,447,0.00,0.21,7,2
1,4,30,1989,51,19,36,56.8,8.2,17.8,51.9,338,0.00,0.16,6,1
1,5,1,1989,68,19,45,39.3,6.2,15.6,50.9,630,0.00,0.28,14,9
1,5,2,1989,71,33,53,33.4,4.9,17.6,52.3,422,0.00,0.23,16,11
1,5,3,1989,69,34,53,53.1,12.1,32.1,59.4,393,0.00,0.29,15,10
1,5,4,1989,67,34,52,44.4,12.5,26.8,58.0,483,0.01,0.33,13,8
1,5,5,1989,64,29,51,49.4,15.0,33.2,58.3,554,0.01,0.33,12,7
1,5,6,1989,80,26,55,34.6,4.7,13.4,60.9,655,0.00,0.31,19,15
1,5,7,1989,90,45,69,21.8,6.3,28.5,66.3,523,0.00,0.39,21,18
1,5,8,1989,81,48,63,56.5,10.5,28.1,68.7,468,0.11,0.35,23,15
1,5,9,1989,63,45,53,58.0,9.3,18.0,64.8,323,0.01,0.20,14,6
1,5,10,1989,75,44,59,48.0,17.6,30.4,64.7,502,0.00,0.47,19,12
1,5,11,1989,78,42,61,54.7,18.7,34.4,65.6,529,0.00,0.47,19,14
1,5,12,1989,70,47,56,75.6,14.0,28.6,64.3,288,0.13,0.25,19,10
1,5,13,1989,56,45,49,88.1,8.3,16.5,58.4,157,0.88,0.07,10,3
1,5,14,1989,63,44,53,80.6,7.1,17.4,60.1,356,0.05,0.13,13,6
1,5,15,1989,68,41,55,79.1,7.8,18.3,60.5,404,0.49,0.16,14,9
1,5,16,1989,65,48,56,80.3,11.0,22.0,59.8,313,0.01,0.16,17,8
1,5,17,1989,72,45,57,74.6,5.5,14.1,62.4,485,0.01,0.19,19,11
1,5,18,1989,78,46,61,67.4,8.4,16.4,65.1,636,0.00,0.30,21,14
1,5,19,1989,70,42,58,43.5,13.7,30.9,64.2,669,0.00,0.41,16,10
1,5,20,1989,78,38,62,45.8,9.5,21.1,66.1,675,0.00,0.36,19,14
1,5,21,1989,80,48,62,66.9,8.2,27.0,67.3,440,0.08,0.27,23,15
1,5,22,1989,89,45,68,42.0,6.7,14.9,68.6,684,0.00,0.40,21,18
1,5,23,1989,95,47,74,31.4,8.4,17.5,71.7,653,0.00,0.48,22,18
1,5,24,1989,74,43,63,20.4,13.2,28.1,70.8,682,0.00,0.50,19,12
1,5,25,1989,72,39,56,24.9,9.4,23.7,68.1,380,0.00,0.35,16,11
1,5,26,1989,69,39,53,38.3,7.1,18.9,67.0,629,0.00,0.31,15,10
1,5,27,1989,80,44,64,44.4,17.7,27.4,68.8,630,0.00,0.54,20,15
1,5,28,1989,97,45,74,35.7,8.0,19.0,74.9,696,0.00,0.48,21,18
1,5,29,1989,95,54,75,27.2,13.6,30.8,76.5,547,0.00,0.65,25,20
1,5,30,1989,63,44,52,82.0,12.0,23.2,68.7,294,0.02,0.16,13,6
1,5,31,1989,59,42,48,85.3,8.5,16.3,62.6,230,0.18,0.11,11,4
1,6,1,1989,73,42,59,62.9,5.6,11.3,67.2,538,0.00,0.22,18,11
1,6,2,1989,84,46,65,52.8,9.3,25.0,70.8,546,0.00,0.36,21,17
1,6,3,1989,68,48,56,74.0,7.8,22.1,68.3,434,0.88,0.19,18,9
1,6,4,1989,55,45,51,85.0,7.8,13.9,63.5,202,0.72,0.07,10,2
1,6,5,1989,77,40,59,67.0,5.6,12.3,67.4,684,0.00,0.27,19,14
1,6,6,1989,81,52,64,64.3,7.2,37.2,68.3,499,0.29,0.29,24,17
1,6,7,1989,76,52,63,62.3,11.0,22.2,67.2,598,0.00,0.33,24,14
1,6,8,1989,76,48,60,71.0,10.0,24.4,67.4,523,1.26,0.28,22,13
1,6,9,1989,59,52,55,88.3,9.7,15.4,62.4,221,0.24,0.09,16,6
1,6,10,1989,71,52,61,81.9,6.5,13.1,66.8,502,0.00,0.18,22,12
1,6,11,1989,82,54,66,65.7,7.4,26.4,70.8,489,0.00,0.27,25,18
1,6,12,1989,77,52,63,53.1,12.3,21.6,70.3,631,0.00,0.40,24,14
1,6,13,1989,73,41,58,58.4,9.2,23.4,68.1,563,0.00,0.29,17,11
1,6,14,1989,65,40,52,63.5,8.2,16.8,65.5,498,0.00,0.22,13,8
1,6,15,1989,81,39,62,43.5,7.8,14.2,69.3,713,0.00,0.38,19,15
1,6,16,1989,92,51,70,55.7,9.5,30.8,73.8,634,0.02,0.44,24,18
1,6,17,1989,78,52,67,52.0,12.1,23.4,74.1,674,0.00,0.40,25,15
1,6,18,1989,92,49,72,41.3,8.0,17.4,76.2,716,0.00,0.44,23,18
1,6,19,1989,102,56,79,34.4,11.1,36.9,80.2,655,0.00,0.61,26,21
1,6,20,1989,94,63,79,27.2,10.0,18.5,79.4,496,0.00,0.50,30,24
1,6,21,1989,70,44,60,29.2,16.5,32.9,73.6,541,0.00,0.49,17,10
1,6,22,1989,68,42,56,45.1,5.9,16.8,70.4,567,0.00,0.25,15,9
1,6,23,1989,71,48,61,48.2,9.9,20.6,70.6,522,0.00,0.31,20,11
1,6,24,1989,80,54,62,77.7,9.2,19.3,69.8,348,0.03,0.26,26,17
1,6,25,1989,76,57,62,82.1,8.6,22.2,70.6,283,0.77,0.19,26,16
1,6,26,1989,76,50,63,78.7,5.2,12.3,70.8,481,0.02,0.18,23,13
1,6,27,1989,88,56,72,56.8,9.3,18.1,74.9,703,0.00,0.41,27,21
1,6,28,1989,89,57,71,66.6,11.7,38.1,76.6,636,0.12,0.41,27,22
1,6,29,1989,82,58,66,71.7,12.0,28.4,73.6,342,0.01,0.32,28,20
1,6,30,1989,85,52,69,68.0,7.4,29.1,75.5,643,0.03,0.31,24,19
1,7,1,1989,95,57,75,57.6,8.9,23.5,79.3,660,0.03,0.42,27,21
1,7,2,1989,101,66,80,51.4,6.7,14.2,82.9,691,0.00,0.45,31,26
1,7,3,1989,96,63,79,39.0,9.9,21.8,82.3,653,0.00,0.51,30,24
1,7,4,1989,97,58,80,35.9,12.3,23.3,82.6,689,0.00,0.58,28,22
1,7,5,1989,101,61,81,32.0,8.7,16.2,84.5,643,0.00,0.53,29,23
1,7,6,1989,97,61,82,21.8,9.0,21.1,84.8,677,0.00,0.53,29,24
1,7,7,1989,100,62,82,20.1,13.9,24.9,83.8,681,0.00,0.73,30,24
1,7,8,1989,109,62,87,13.9,11.5,19.8,85.8,672,0.00,0.74,29,24
1,7,9,1989,102,67,86,11.9,11.9,22.6,86.4,697,0.00,0.71,32,26
1,7,10,1989,93,60,78,31.2,7.4,18.7,85.5,669,0.00,0.44,28,23
1,7,11,1989,97,63,80,34.2,10.5,28.5,85.9,641,0.00,0.54,30,25
1,7,12,1989,90,64,78,45.9,8.0,15.3,85.8,640,0.00,0.40,30,25
1,7,13,1989,85,59,71,67.7,9.8,21.6,82.8,611,0.30,0.34,28,22
1,7,14,1989,89,59,73,57.4,11.9,20.8,79.6,666,0.00,0.45,28,23
1,7,15,1989,81,53,67,69.4,7.6,18.4,77.9,450,0.00,0.24,25,17
1,7,16,1989,79,56,64,83.6,12.6,20.0,73.4,401,0.00,0.25,26,17
1,7,17,1989,98,60,75,52.2,9.9,23.1,78.5,493,0.00,0.47,28,23
1,7,18,1989,86,53,70,40.4,10.4,24.5,78.0,677,0.00,0.45,25,19
1,7,19,1989,87,51,70,41.5,5.9,14.2,79.0,593,0.00,0.33,24,18
1,7,20,1989,85,48,70,42.5,7.1,14.6,80.7,617,0.00,0.34,22,18
1,7,21,1989,82,55,70,39.8,11.8,19.2,80.0,647,0.00,0.46,26,19
1,7,22,1989,84,54,70,39.0,10.3,17.3,79.0,664,0.00,0.45,26,19
1,7,23,1989,84,50,69,43.1,9.0,16.3,79.5,648,0.00,0.39,24,17
1,7,24,1989,86,55,71,48.6,10.1,17.9,79.9,573,0.00,0.40,26,20
1,7,25,1989,88,60,73,46.9,11.3,21.1,80.4,597,0.00,0.45,28,23
1,7,26,1989,89,56,74,45.2,7.9,13.4,81.2,594,0.00,0.36,26,21
1,7,27,1989,92,62,78,35.5,11.1,18.9,83.2,629,0.00,0.51,30,24
1,7,28,1989,96,60,79,38.1,9.1,19.0,84.6,632,0.00,0.46,29,23
1,7,29,1989,94,57,77,37.9,10.4,29.7,83.6,551,0.50,0.47,27,21
1,7,30,1989,67,60,63,87.6,9.3,31.5,75.5,45,1.92,0.06,23,13
1,7,31,1989,79,61,69,73.5,7.2,17.4,76.3,471,0.00,0.22,29,20
1,9,1,1989,79,55,66,62.8,8.6,14.9,76.6,492,0.00,0.27,26,17
1,9,2,1989,89,58,72,63.5,13.5,21.6,76.2,501,0.00,0.40,27,22
1,9,3,1989,86,61,72,67.3,7.9,15.5,77.5,482,0.00,0.27,29,23
1,9,4,1989,78,50,67,58.3,9.5,17.1,75.5,525,0.00,0.27,24,14
1,9,5,1989,89,62,73,53.0,9.5,18.6,77.5,493,0.00,0.38,30,24
1,9,6,1989,86,55,70,55.8,8.7,18.4,77.0,510,0.00,0.32,26,20
1,9,7,1989,78,57,67,68.0,9.1,24.3,76.9,391,0.98,0.22,27,17
1,9,8,1989,58,48,53,85.5,11.8,21.6,65.6,113,0.80,0.07,13,4
1,9,9,1989,52,44,49,83.5,6.2,13.0,60.4,83,0.11,0.04,8,1
1,9,10,1989,64,41,53,76.8,12.1,21.7,61.0,433,0.00,0.18,12,7
1,9,11,1989,43,35,39,78.7,8.2,17.4,54.1,119,0.03,0.06,1,0
1,9,12,1989,37,33,35,86.3,6.2,12.4,48.8,88,0.36,0.03,0,0
1,9,13,1989,58,36,44,77.2,4.1,10.1,53.1,348,0.00,0.11,9,4
1,9,14,1989,75,38,55,56.2,6.1,12.2,55.9,508,0.00,0.24,17,12
1,9,15,1989,82,46,61,47.8,8.3,17.4,59.9,507,0.00,0.33,21,16
1,9,16,1989,88,52,66,37.9,7.9,15.6,63.9,506,0.00,0.40,24,19
1,9,17,1989,90,49,70,32.6,9.8,20.5,66.6,486,0.00,0.44,23,18
1,9,18,1989,89,53,70,38.3,8.8,17.5,69.4,499,0.00,0.40,25,19
1,9,19,1989,78,51,65,63.0,8.7,18.1,69.0,452,0.00,0.25,24,15
1,9,20,1989,84,50,63,70.9,13.5,35.5,67.7,356,0.12,0.36,24,17
1,9,21,1989,64,38,51,73.3,10.9,20.4,61.6,322,0.00,0.17,12,7
1,9,22,1989,68,38,52,62.2,10.9,25.1,59.8,438,0.00,0.25,14,9
1,9,23,1989,63,34,47,64.8,11.1,21.1,58.5,460,0.00,0.23,12,7
1,9,24,1989,83,36,59,46.5,9.3,22.3,61.2,454,0.00,0.36,19,17
1,9,25,1989,76,45,60,46.2,6.3,11.7,63.6,443,0.00,0.24,21,13
1,9,26,1989,81,51,64,33.6,15.4,25.5,64.6,428,0.00,0.53,24,16
1,9,27,1989,86,45,65,34.3,9.0,20.0,65.9,435,0.00,0.38,21,18
1,9,28,1989,85,52,67,33.1,8.0,19.3,67.4,416,0.01,0.35,25,19
1,9,29,1989,81,43,64,35.9,6.7,14.1,66.6,423,0.00,0.28,20,16
1,9,30,1989,93,48,69,27.9,7.5,14.7,68.7,428,0.00,0.39,22,18
1,10,1,1989,72,35,57,32.0,14.1,31.1,65.2,427,0.00,0.37,16,11
1,10,2,1989,58,30,44,53.0,10.8,19.7,58.8,398,0.00,0.21,9,4
1,10,3,1989,45,36,40,52.7,14.0,20.1,55.0,111,0.00,0.16,3,0
1,10,4,1989,76,37,52,43.5,7.7,18.5,58.3,231,0.00,0.26,18,13
1,10,5,1989,69,36,53,26.8,8.5,23.7,59.8,364,0.00,0.28,15,10
1,10,6,1989,69,29,50,36.0,7.5,17.2,58.4,398,0.00,0.23,14,9
1,10,7,1989,68,34,49,44.3,6.5,14.1,58.5,392,0.00,0.21,14,9
1,10,8,1989,77,40,55,27.1,7.6,15.3,58.4,399,0.00,0.31,19,13
1,10,9,1989,74,39,56,24.8,6.5,19.5,58.7,335,0.00,0.26,17,12
1,10,10,1989,82,41,61,23.1,9.7,17.1,61.3,400,0.00,0.38,19,16
1,10,11,1989,86,46,64,15.8,11.1,25.4,59.6,351,0.00,0.48,21,18
1,10,12,1989,87,41,62,22.9,8.8,21.9,59.8,389,0.00,0.41,19,18
1,10,13,1989,90,42,64,15.9,6.9,15.3,60.1,380,0.00,0.37,19,18
1,10,14,1989,90,43,65,14.9,6.3,15.4,60.5,334,0.00,0.34,20,18
1,10,15,1989,60,31,44,49.6,14.7,26.6,60.4,216,0.01,0.26,10,5
1,10,16,1989,35,29,31,80.4,8.9,14.6,57.6,123,0.18,0.05,0,0
1,10,17,1989,36,29,32,76.6,4.0,8.5,53.7,87,0.01,0.03,0,0
1,10,18,1989,47,23,34,58.0,5.0,15.5,51.6,319,0.00,0.10,4,0
1,10,19,1989,60,21,36,47.9,5.1,9.5,50.2,360,0.00,0.16,10,5
1,10,20,1989,75,30,51,26.9,9.7,17.9,49.8,351,0.00,0.34,17,12
1,10,21,1989,78,37,56,23.6,7.1,16.8,51.1,332,0.00,0.29,19,14
1,10,22,1989,77,41,56,24.4,8.3,19.1,52.7,324,0.00,0.32,19,13
1,10,23,1989,75,38,55,29.7,5.9,13.5,53.6,312,0.00,0.23,18,13
1,10,24,1989,77,33,55,30.4,5.8,13.1,54.3,332,0.00,0.23,19,14
1,10,25,1989,75,30,56,30.6,9.2,28.1,54.6,232,0.00,0.27,17,12
1,10,26,1989,69,36,53,37.6,15.4,36.5,55.2,266,0.00,0.35,15,10
1,10,27,1989,64,33,47,36.7,9.6,20.4,54.5,316,0.00,0.25,12,7
1,10,28,1989,66,36,48,49.8,9.8,22.2,53.7,265,0.00,0.23,13,8
1,10,29,1989,39,17,31,49.1,14.7,27.9,52.7,198,0.00,0.13,0,0
1,10,30,1989,52,15,30,47.8,6.6,16.2,49.3,307,0.00,0.14,6,1
1,10,31,1989,52,21,36,39.5,13.1,22.3,48.5,246,0.00,0.22,6,1
1,11,1,1989,41,19,27,51.7,12.0,23.8,48.1,298,0.00,0.15,1,0
1,11,2,1989,51,18,33,37.2,9.8,15.9,46.5,291,0.00,0.19,6,1
1,11,3,1989,59,29,42,29.9,10.1,19.1,46.2,176,0.00,0.24,9,4
1,11,4,1989,65,29,50,28.3,13.3,30.2,46.6,162,0.00,0.29,13,8
1,11,5,1989,58,31,43,38.7,10.3,22.9,46.7,255,0.00,0.22,9,4
1,11,6,1989,57,24,39,35.2,9.9,26.9,47.6,270,0.00,0.22,9,4
1,11,7,1989,59,28,43,27.0,14.5,31.5,47.0,257,0.00,0.31,9,4
1,11,8,1989,50,24,38,42.8,10.5,26.2,46.8,257,0.00,0.17,5,0
1,11,9,1989,68,43,53,23.0,15.2,27.2,48.6,246,0.00,0.41,15,9
1,11,10,1989,70,41,54,26.2,9.0,18.5,48.2,227,0.00,0.26,15,10
1,11,11,1989,80,40,55,24.3,7.7,15.2,49.1,269,0.00,0.32,19,15
1,11,12,1989,76,26,50,31.3,6.6,18.2,49.5,264,0.00,0.25,18,13
1,11,13,1989,53,31,45,35.1,9.7,23.2,49.5,196,0.00,0.17,7,2
1,11,14,1989,55,22,37,53.2,11.4,25.0,48.6,207,0.00,0.19,8,3
1,11,15,1989,35,8,24,50.2,13.4,32.0,47.0,205,0.00,0.11,0,0
1,11,16,1989,47,7,29,37.6,7.8,15.9,44.1,248,0.00,0.13,4,0
1,11,17,1989,53,21,35,44.2,8.1,19.7,43.7,234,0.00,0.15,6,1
1,11,18,1989,60,23,39,36.2,9.3,20.2,43.6,159,0.00,0.22,10,5
1,11,19,1989,73,35,50,22.4,9.1,18.4,43.8,195,0.00,0.32,17,12
1,11,20,1989,59,32,45,32.7,10.1,21.7,44.7,238,0.00,0.21,9,4
1,11,21,1989,70,27,44,40.8,11.4,24.7,45.1,241,0.00,0.32,15,10
1,11,22,1989,41,17,28,38.0,10.4,25.1,45.1,153,0.00,0.13,0,0
1,11,23,1989,49,21,34,34.1,9.7,18.7,43.5,123,0.00,0.17,4,0
1,11,24,1989,68,31,46,21.6,6.5,15.0,43.1,181,0.00,0.21,14,9
1,11,25,1989,51,23,36,59.7,7.9,17.6,43.3,161,0.00,0.10,5,0
1,11,26,1989,65,22,43,37.0,12.5,22.8,43.6,220,0.00,0.28,13,8
1,11,27,1989,37,9,25,48.1,14.8,30.8,43.8,190,0.00,0.12,0,0
1,11,28,1989,42,12,23,45.3,9.3,20.3,40.8,215,0.00,0.13,1,0
1,11,29,1989,60,16,31,25.2,9.7,21.0,40.0,223,0.00,0.26,10,5
1,11,30,1989,57,19,34,22.7,6.0,13.4,39.5,219,0.00,0.16,9,4
1,4,1,1990,56,32,43,50.6,9.5,22.4,42.8,471,0.00,0.22,8,3
1,4,2,1990,65,29,47,51.1,9.7,16.8,43.9,525,0.00,0.27,13,8
1,4,3,1990,76,31,55,41.0,6.7,17.1,46.1,539,0.00,0.29,18,13
1,4,4,1990,60,36,47,58.1,10.1,21.8,50.5,413,0.37,0.22,10,5
1,4,5,1990,38,24,29,77.3,10.9,21.4,47.5,234,0.11,0.09,0,0
1,4,6,1990,47,20,33,64.4,7.9,13.2,44.0,547,0.11,0.15,4,0
1,4,7,1990,62,26,44,47.4,7.0,15.4,44.1,549,0.00,0.23,11,6
1,4,8,1990,72,31,52,47.9,5.0,16.5,45.3,465,0.00,0.22,16,11
1,4,9,1990,51,32,40,69.7,13.8,25.0,47.3,235,0.00,0.15,5,0
1,4,10,1990,39,27,33,72.0,8.3,18.0,45.5,135,0.01,0.07,0,0
1,4,11,1990,52,26,36,66.9,9.4,16.4,43.8,369,0.00,0.17,6,1
1,4,12,1990,65,32,44,68.0,9.8,25.7,44.6,369,0.13,0.24,13,8
1,4,13,1990,60,38,47,52.3,11.2,25.7,45.8,523,0.08,0.27,10,5
1,4,14,1990,73,30,52,44.6,11.2,25.8,46.5,441,0.00,0.34,17,12
1,4,15,1990,69,37,53,53.3,10.3,19.7,48.1,539,0.00,0.29,15,10
1,4,16,1990,57,32,41,61.8,13.4,33.3,49.6,341,0.00,0.24,9,4
1,4,17,1990,42,30,35,50.2,16.8,29.0,48.0,220,0.00,0.22,1,0
1,4,18,1990,69,31,50,43.2,12.8,23.8,46.7,587,0.00,0.38,14,9
1,4,19,1990,68,37,53,54.7,8.0,17.8,49.1,556,0.00,0.25,14,9
1,4,20,1990,75,39,57,42.2,5.8,14.0,51.1,547,0.00,0.27,18,13
1,4,21,1990,80,40,60,34.7,9.5,20.6,52.8,551,0.00,0.39,19,15
1,4,22,1990,82,44,62,30.3,8.5,27.3,54.1,405,0.01,0.37,21,16
1,4,23,1990,78,41,60,36.9,8.2,26.9,54.8,502,0.00,0.33,19,14
1,4,24,1990,74,43,55,52.1,9.4,25.7,55.6,360,0.02,0.28,18,12
1,4,25,1990,60,36,48,75.3,10.1,19.2,54.7,222,0.56,0.13,10,5
1,4,26,1990,62,33,43,72.1,8.7,27.4,52.2,268,0.09,0.18,11,6
1,4,27,1990,56,32,43,56.4,12.4,28.7,50.5,421,0.00,0.23,8,3
1,4,28,1990,74,35,51,51.5,13.2,30.6,49.5,376,0.00,0.37,17,12
1,4,29,1990,45,28,36,40.8,14.3,32.9,49.5,406,0.00,0.24,2,0
1,4,30,1990,52,28,39,50.2,6.6,18.0,48.2,319,0.00,0.15,6,1
1,5,1,1990,45,31,39,52.1,8.7,17.7,46.8,114,0.00,0.12,3,0
1,5,2,1990,58,29,44,48.6,11.0,21.0,47.1,539,0.00,0.26,9,4
1,5,3,1990,57,31,44,44.0,10.5,21.9,48.2,422,0.03,0.25,9,4
1,5,4,1990,64,29,46,57.0,7.2,24.4,48.6,417,0.07,0.20,12,7
1,5,5,1990,64,36,49,49.6,9.5,20.5,49.2,421,0.00,0.25,12,7
1,5,6,1990,80,35,60,31.5,9.7,18.3,49.8,665,0.00,0.42,19,15
1,5,7,1990,83,44,63,31.1,11.9,36.9,52.7,561,0.04,0.49,21,16
1,5,8,1990,50,40,44,76.8,9.7,24.9,53.7,84,0.27,0.08,5,0
1,5,9,1990,50,31,38,64.2,14.2,27.7,50.8,537,0.14,0.24,5,0
1,5,10,1990,67,29,48,50.2,9.6,20.3,48.7,643,0.00,0.30,13,8
1,5,11,1990,56,37,46,66.4,12.4,19.2,49.9,289,0.01,0.18,8,3
1,5,12,1990,60,40,49,61.2,8.6,15.9,49.7,434,0.00,0.20,10,5
1,5,13,1990,73,39,54,54.3,12.8,24.7,50.6,441,0.00,0.35,17,12
1,5,14,1990,66,31,51,53.7,10.1,26.0,51.5,587,0.35,0.27,13,8
1,5,15,1990,74,46,57,61.1,7.7,32.0,53.0,436,0.00,0.25,20,12
1,5,16,1990,60,38,47,52.8,10.3,25.3,53.5,438,0.03,0.24,10,5
1,5,17,1990,70,31,53,42.8,6.9,15.7,52.4,628,0.00,0.28,15,10
1,5,18,1990,83,39,61,38.9,11.4,41.9,53.5,563,0.00,0.45,19,17
1,5,19,1990,73,41,59,44.4,11.1,22.0,55.2,605,0.00,0.35,17,11
1,5,20,1990,60,43,51,73.3,9.7,22.5,55.9,220,0.00,0.13,12,5
1,5,21,1990,80,40,62,40.2,6.6,15.4,55.5,681,0.00,0.34,19,15
1,5,22,1990,86,42,66,36.2,5.8,16.0,58.0,592,0.00,0.33,20,18
1,5,23,1990,83,46,65,49.2,10.1,39.9,58.9,653,0.36,0.39,22,16
1,5,24,1990,67,57,61,74.3,8.5,20.1,59.3,212,0.00,0.13,22,12
1,5,25,1990,75,45,60,36.8,9.7,17.9,58.6,656,0.24,0.39,20,12
1,5,26,1990,71,51,59,62.0,8.3,18.3,58.4,542,0.39,0.26,21,11
1,5,27,1990,65,48,57,64.8,8.4,15.6,58.6,603,0.08,0.23,16,7
1,5,28,1990,67,47,57,61.4,15.8,26.3,58.2,560,0.00,0.32,17,9
1,5,29,1990,63,51,55,73.4,15.4,26.2,57.5,199,0.59,0.20,17,7
1,5,30,1990,62,51,56,72.9,8.9,16.9,56.5,253,0.06,0.14,17,7
1,5,31,1990,73,45,61,65.8,12.2,22.5,56.6,675,0.16,0.31,19,12
1,6,1,1990,80,44,63,59.1,11.6,45.3,58.5,460,0.03,0.33,20,15
1,6,2,1990,74,45,58,30.9,17.3,33.0,58.2,702,0.00,0.58,19,12
1,6,3,1990,76,45,61,33.4,9.1,21.2,57.5,698,0.00,0.40,21,13
1,6,4,1990,90,44,71,31.9,8.9,19.6,58.9,690,0.00,0.46,21,18
1,6,5,1990,78,57,67,33.1,10.3,18.5,61.3,694,0.00,0.44,27,17
1,6,6,1990,76,55,65,45.4,12.5,24.6,62.7,573,0.03,0.40,26,16
1,6,7,1990,88,53,69,44.2,7.3,21.8,63.3,658,0.00,0.39,25,19
1,6,8,1990,87,57,71,31.4,8.6,18.1,64.4,701,0.00,0.46,27,22
1,6,9,1990,85,60,71,48.6,13.5,21.5,65.5,585,0.00,0.47,28,22
1,6,10,1990,87,57,72,41.1,11.7,20.7,66.2,538,0.00,0.44,27,21
1,6,11,1990,92,56,74,26.6,10.7,31.5,67.0,663,0.00,0.54,26,21
1,6,12,1990,86,46,65,28.4,10.2,30.4,67.3,598,0.00,0.49,21,18
1,6,13,1990,80,41,65,23.4,7.2,14.0,66.8,699,0.00,0.37,19,15
1,6,14,1990,81,53,68,41.5,11.6,25.9,67.1,576,0.00,0.41,25,17
1,6,15,1990,87,58,71,56.9,8.4,22.4,68.2,411,0.07,0.30,28,22
1,6,16,1990,81,52,65,53.6,9.7,26.5,67.8,600,0.04,0.37,24,17
1,6,17,1990,86,48,68,28.3,8.3,17.4,67.5,692,0.00,0.43,23,18
1,6,18,1990,101,56,77,36.9,7.0,13.9,68.9,688,0.00,0.48,27,21
1,6,19,1990,88,58,72,31.6,11.9,22.4,69.6,613,0.00,0.54,28,22
1,6,20,1990,86,48,69,33.0,6.5,14.8,70.0,696,0.00,0.38,22,18
1,6,21,1990,75,41,61,40.2,13.4,27.0,70.4,474,0.00,0.38,18,12
1,6,22,1990,84,42,64,32.6,6.0,13.5,68.8,708,0.00,0.37,20,17
1,6,23,1990,93,50,74,23.2,9.3,17.3,69.1,693,0.00,0.52,23,18
1,6,24,1990,100,61,79,19.8,7.1,14.7,70.7,686,0.00,0.50,29,23
1,6,25,1990,107,59,84,20.9,7.5,24.8,72.8,628,0.00,0.53,28,22
1,6,26,1990,98,60,79,26.1,7.3,22.3,74.4,640,0.03,0.47,28,23
1,6,27,1990,108,65,84,20.8,9.8,19.3,75.1,598,0.00,0.64,31,25
1,6,28,1990,97,70,83,15.8,11.2,20.5,76.2,673,0.00,0.62,33,28
1,6,29,1990,104,59,82,30.5,8.9,39.4,77.2,609,0.16,0.54,28,23
1,6,30,1990,99,62,82,24.3,11.7,23.6,76.8,662,0.00,0.59,29,24
1,7,1,1990,108,67,87,21.7,7.7,17.2,76.5,656,0.00,0.55,32,26
1,7,2,1990,104,71,89,10.0,13.7,23.2,77.6,711,0.00,0.77,34,29
1,7,3,1990,104,61,82,27.3,13.0,35.8,78.5,592,0.42,0.68,29,24
